teochew_tone,mandarin_tone,frequency
falling(53),dipping(3),50
low(11),falling(4),18
high_rising(35),falling(4),20
high(55),rising(2),57
high_checked(4),rising(2),19
low_rising(213),falling(4),51
low_checked(21),dipping(3),7
low_checked(21),rising(2),6
low_checked(21),high(1),13
mid(33),high(1),71
high_rising(35),dipping(3),10
low_checked(21),falling(4),7
low_rising(213),dipping(3),7
mid(33),falling(4),6
high(55),high(1),6
low_rising(213),high(1),5
low(11),dipping(3),1
mid(33),dipping(3),3
high_checked(4),falling(4),13
falling(53),falling(4),5
high_checked(4),dipping(3),2
mid(33),rising(2),3
falling(53),high(1),3
falling(53),rising(2),1
low(11),rising(2),1
high_rising(35),rising(2),2
low_rising(213),rising(2),1
high(55),dipping(3),1
high(55),falling(4),2
high_checked(4),high(1),1
